구분,총인구(계),총인구(남),총인구(여),내국인(계),내국인(남),내국인(여),외국인(계),외국인(남),외국인(여),19세이상(내국)계,19세이상(내국)남,19세이상(내국)여,65세이상(내국)계,65세이상(내국)남,65세이상(내국)여,세대(내국인)
주덕읍,5448,2999,2449,4802,2480,2322,646,519,127,4539,2340,2199,1823,788,1035,2678
살미면,2058,1054,1004,2014,1025,989,44,29,15,1940,984,956,925,444,481,1116
수안보면,2923,1476,1447,2847,1426,1421,76,50,26,2699,1348,1351,1241,547,694,1635
대소원면,10053,5758,4295,9338,5296,4042,715,462,253,8370,4784,3586,1808,844,964,5652
신니면,3069,1630,1439,2777,1421,1356,292,209,83,2687,1387,1300,1332,610,722,1584
노은면,2323,1209,1114,2240,1146,1094,83,63,20,2123,1078,1045,1113,512,601,1263
앙성면,4009,2068,1941,3926,2013,1913,83,55,28,3777,1931,1846,1776,826,950,2331
중앙탑면,14019,7270,6749,13775,7121,6654,244,149,95,10673,5563,5110,1555,701,854,6128
금가면,3953,2154,1799,3877,2094,1783,76,60,16,3346,1843,1503,955,428,527,1861
동량면,3614,1866,1748,3516,1790,1726,98,76,22,3304,1688,1616,1497,679,818,1879
산척면,2254,1172,1082,2198,1127,1071,56,45,11,2101,1074,1027,992,454,538,1221
엄정면,3122,1598,1524,3052,1549,1503,70,49,21,2895,1460,1435,1432,652,780,1660
소태면,1942,1001,941,1885,973,912,57,28,29,1768,913,855,907,427,480,1036
성내충인동,2595,1278,1317,2501,1231,1270,94,47,47,2288,1127,1161,878,360,518,1451
교현안림동,22984,11381,11603,22805,11321,11484,179,60,119,19331,9542,9789,4670,1964,2706,10125
교현2동,6776,3454,3322,6484,3281,3203,292,173,119,5890,2979,2911,1975,854,1121,3560
용산동,14471,7080,7391,14385,7044,7341,86,36,50,11759,5697,6062,2272,964,1308,6115
지현동,5153,2551,2602,5116,2535,2581,37,16,21,4480,2199,2281,1420,607,813,2497
문화동,9256,4674,4582,9083,4588,4495,173,86,87,8292,4179,4113,2880,1262,1618,4720
호암직동,22214,11050,11164,22110,11013,11097,104,37,67,17418,8616,8802,2296,980,1316,9585
달천동,4542,2546,1996,3826,2070,1756,716,476,240,3653,1972,1681,1231,565,666,2429
봉방동,9095,4751,4344,8829,4614,4215,266,137,129,7872,4111,3761,2152,968,1184,4674
칠금금릉동,14300,7001,7299,14118,6925,7193,182,76,106,11916,5800,6116,2439,1023,1416,6290
연수동,36207,18056,18151,35880,17908,17972,327,148,179,30623,15179,15444,6417,2741,3676,17298
목행용탄동,6939,3808,3131,6509,3409,3100,430,399,31,5464,2862,2602,1060,469,591,2895
